@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2}

@data
449,'2017/02/18 17:15:26:107',2,758.717957,855.421265,820.366272,827.216125,847.36261,1
450,'2017/02/18 17:15:26:109',2,778.864441,859.047607,816.336975,869.523804,855.421265,1
451,'2017/02/18 17:15:26:111',2,776.849792,858.24176,815.531128,891.282043,892.087891,1
452,'2017/02/18 17:15:26:112',2,777.252747,859.047607,813.113525,861.062256,872.344299,1
453,'2017/02/18 17:15:26:113',2,771.611694,854.615356,813.919434,852.197815,841.318665,1
454,'2017/02/18 17:15:26:114',2,761.135559,850.58606,820.769226,892.087891,810.29303,1
455,'2017/02/18 17:15:26:116',2,789.743591,850.58606,821.17218,841.318665,823.589722,1
456,'2017/02/18 17:15:26:118',2,803.040283,852.197815,826.410278,826.813171,836.080566,1
457,'2017/02/18 17:15:26:121',2,804.249084,850.58606,824.39563,894.505493,830.036621,1
458,'2017/02/18 17:15:26:123',2,804.249084,847.765564,828.82782,876.373596,872.747253,1
459,'2017/02/18 17:15:26:124',2,796.190491,846.556763,826.007324,844.542114,799.010986,1
460,'2017/02/18 17:15:26:125',2,819.963379,848.974365,829.230774,864.285706,891.684998,1
461,'2017/02/18 17:15:26:126',2,809.084229,850.58606,826.813171,886.849792,886.446899,1
462,'2017/02/18 17:15:26:127',2,816.336975,850.183167,836.080566,832.05127,809.890137,1
463,'2017/02/18 17:15:26:128',2,816.336975,856.227112,833.663025,851.391968,815.934082,1
464,'2017/02/18 17:15:26:129',2,807.472534,848.571411,830.439575,869.12085,848.974365,1
465,'2017/02/18 17:15:26:130',2,813.516479,848.974365,833.663025,880.805847,861.46521,1
466,'2017/02/18 17:15:26:132',2,822.380981,850.183167,830.842468,816.336975,805.860779,1
467,'2017/02/18 17:15:26:134',2,808.681335,848.168518,835.677673,896.520142,782.893799,1
468,'2017/02/18 17:15:26:136',2,825.201477,847.36261,832.857117,882.417603,805.054932,1
469,'2017/02/18 17:15:26:138',2,821.575073,848.974365,842.527466,829.633728,865.091553,1
470,'2017/02/18 17:15:26:141',2,820.366272,856.630066,837.289368,843.333313,811.098877,1
471,'2017/02/18 17:15:26:143',2,826.813171,846.959717,838.095215,869.926758,872.747253,1
472,'2017/02/18 17:15:26:147',2,804.249084,855.018311,845.347961,803.84613,853.809509,1
473,'2017/02/18 17:15:26:148',2,781.282043,855.824158,839.70697,783.296692,823.992676,1
474,'2017/02/18 17:15:26:149',2,764.358948,858.644714,829.230774,799.41394,859.450562,1
475,'2017/02/18 17:15:26:150',2,742.197815,849.377319,827.216125,765.164856,875.567749,1
476,'2017/02/18 17:15:26:153',2,725.274719,852.600708,823.589722,701.098877,853.809509,1
477,'2017/02/18 17:15:26:155',2,767.582397,862.674011,819.560425,762.344299,865.897461,1
478,'2017/02/18 17:15:26:157',2,787.325989,860.659363,830.439575,807.875488,795.787537,1
479,'2017/02/18 17:15:26:158',2,782.087891,850.989014,834.468872,786.923096,805.457886,1
480,'2017/02/18 17:15:26:158',2,823.589722,848.571411,839.70697,842.527466,838.901123,1
481,'2017/02/18 17:15:26:162',2,842.93042,848.571411,838.498169,894.505493,895.714294,1
482,'2017/02/18 17:15:26:163',2,853.809509,846.15387,840.915771,850.58606,817.545776,1
483,'2017/02/18 17:15:26:164',2,853.003662,850.989014,841.318665,854.615356,834.468872,1
